model,lofo_macro_f1_informative,overall_f1,overall_auc,retroviral_tp_of_12,n_features
hybrid_lr,0.7217105263157895,0.7027027027027026,0.7751322751322751,7,33
handcrafted_no_foldseek_lr,0.6880952380952381,0.5263157894736842,0.6772486772486772,2,88
robust_handcrafted_et,0.6339285714285714,0.5161290322580645,0.6547619047619048,2,27
robust_handcrafted_lr,0.6208333333333332,0.5142857142857143,0.753968253968254,3,27
hybrid_et,0.6178921568627451,0.5945945945945946,0.6666666666666666,5,33
gates_lr,0.4868686868686869,0.47058823529411764,0.6150793650793651,7,6
gates_et,0.13846153846153847,0.17647058823529413,0.32671957671957674,1,6
