feature,active_auc_abs,family_mi,stable_signal,leakage_adjusted_score,is_foldseek
ramachandran_outliers,0.7294973544973544,0.0,0.8073412698412699,1.172089947089947,False
ramachandran_allowed,0.6746031746031746,0.0,0.772718253968254,1.1100198412698412,False
pocket_hbonds_per_res,0.6646825396825398,0.0,0.776686507936508,1.109027777777778,False
ramachandran_favoured,0.6567460317460317,0.0,0.7553571428571428,1.0837301587301587,False
salt_per_res,0.71494708994709,0.0,0.7254464285714286,1.0829199735449735,False
foldseek_best_TM,0.8240740740740741,0.1923367344562399,0.8141865079365079,1.081970994131365,True
hydrophobic_per_res,0.6051587301587302,0.07525816496258697,0.8130456349206349,1.05918137627806,False
pocket_hbonds,0.6150793650793651,0.045853407276114755,0.778422619047619,1.0515722461302155,False
thumb_surface_net_charge,0.5687830687830687,0.05123096003759553,0.799404761904762,1.0453730762680997,False
sasa_low_pct,0.683862433862434,0.0410375689113569,0.727281746031746,1.0384347862794452,False
n_salt_bridges,0.6058201058201058,0.0,0.7219742063492064,1.0248842592592593,False
g_factor_overall,0.5628306878306879,0.04122306311653867,0.7555059523809524,1.0060039989588923,False
sasa_avg,0.6349206349206349,0.12942265159456046,0.7823412698412698,1.0027345986056668,False
sasa_total,0.6349206349206349,0.13329903185681058,0.7823412698412698,0.9998273134089792,False
camsol_min_profile,0.5588624338624338,0.03432422307725558,0.7211805555555557,0.974868605178831,False
thumb_charge_ratio,0.5410052910052909,0.05578257062874403,0.7327380952380953,0.9614038127691826,False
hbonds_per_res,0.8300264550264551,0.4136992216513571,0.8543154761904762,0.959054287465186,False
thumb_charge_class_num,0.6435185185185185,0.04315699021973396,0.6676587301587301,0.9570502467531888,False
perplexity,0.6494708994708995,0.22655664329047553,0.7960317460317461,0.9508497132993392,False
avg_log_likelihood,0.6494708994708995,0.22919584301788687,0.7960317460317461,0.9488703135037807,False
whole_hydrophobic_fraction,0.5231481481481481,0.0,0.6750992063492063,0.9366732804232804,False
g_factor_covalent,0.5211640211640212,0.0,0.6719742063492062,0.9325562169312168,False
instability_index,0.5171957671957672,0.0,0.666765873015873,0.9253637566137566,False
thumb_fident,0.7215608465608465,0.25485988785464153,0.7526289682539682,0.9222644756434103,False
whole_mean_hydrophobicity,0.5582010582010583,0.014391199094791585,0.6499999999999999,0.9183071297794353,False
thumb_surface_residues,0.5952380952380952,0.08384003405548723,0.6754960317460319,0.9102350538234641,False
triad_found_bin,0.621031746031746,0.1895775334744454,0.7416666666666667,0.9099993895767057,False
foldseek_best_fident,0.7665343915343915,0.2910754393133175,0.7327380952380952,0.8976987115203028,True
thumb_surface_negative,0.5218253968253967,0.07097602547795123,0.6846230158730159,0.8923036951772508,False
whole_std_hydrophobicity,0.5641534391534392,0.2127333685642383,0.7680555555555555,0.8905822487090963,False
foldseek_best_LDDT,0.7513227513227513,0.30330374835856544,0.7406746031746032,0.8888581675670547,True
g_factor_dihedrals,0.5945767195767195,0.1596296231539296,0.7106646825396825,0.8882308249625951,False
