model,lofo_macro_f1_informative,overall_f1,overall_auc,retroviral_tp_of_12
sparse_hybrid_clean_lr,0.5700396825396825,0.5,0.7843915343915343,2
gates_default_lr,0.4666666666666667,0.4615384615384615,0.6216931216931217,7
gates_clean_lr,0.4666666666666667,0.42857142857142855,0.6111111111111112,7
biology_lr,0.46031746031746035,0.391304347826087,0.6481481481481481,2
