model,lofo_macro_f1_informative,overall_f1,overall_auc,retroviral_tp_of_12,n_features
bio_augmented_default_et,0.6257352941176471,0.5294117647058824,0.5595238095238095,3,37
bio_augmented_default_lr,0.5444444444444445,0.5,0.6534391534391534,4,37
bio_augmented_clean_lr,0.5444444444444445,0.4878048780487805,0.6507936507936508,4,37
